learning_rate, gamma, net_dimension   , batch_size, total_return          , sharpe_ratio       , max_drawdown         , final_value       , exp_name
1e-06        , 0.985, "[128, 64]"     ,       1024, 0.01547252148279954   , 7.959674143164583  , -0.02790099603842111 , 1015472.5214827996, exp_lr1e-06_g0.985_bs1024
1e-06        , 0.97 , "[128, 128, 64]",       2048, 0.013098486014728516  , 7.170118981349294  , -0.02537399437979293 , 1013098.4860147286, exp_lr1e-06_g0.97_bs2048
1e-05        , 0.95 , "[128, 128, 64]",       1024, 0.013022216144458865  , 6.441054909363087  , -0.024531564001115447, 1013022.2161444589, exp_lr1e-05_g0.95_bs1024
3e-06        , 0.97 , "[128, 128, 64]",       2048, 0.01741851895776425   , 6.239819360010064  , -0.04144577757122736 , 1017418.5189577641, exp_lr3e-06_g0.97_bs2048
1e-06        , 0.985, "[128, 128, 64]",       1024, 0.017317333294071702  , 6.121829804326815  , -0.04111483125840365 , 1017317.3332940716, exp_lr1e-06_g0.985_bs1024
1e-06        , 0.985, "[256, 128]"    ,       4096, 0.015674131777275724  , 6.121652543664512  , -0.03531601628878356 , 1015674.1317772757, exp_lr1e-06_g0.985_bs4096
3e-06        , 0.95 , "[128, 128, 64]",       1024, 0.012850544794506424  , 6.109242393496823  , -0.02425057889984461 , 1012850.5447945064, exp_lr3e-06_g0.95_bs1024
3e-06        , 0.95 , "[128, 128, 64]",       2048, 0.012943941170135087  , 5.766185400912987  , -0.03271132572273683 , 1012943.9411701352, exp_lr3e-06_g0.95_bs2048
3e-06        , 0.97 , "[128, 64]"     ,       4096, 0.014090075442438454  , 5.579143530962781  , -0.03244263473661291 , 1014090.0754424384, exp_lr3e-06_g0.97_bs4096
1e-06        , 0.95 , "[128, 128, 64]",       2048, 0.013164946275115774  , 5.454156338885257  , -0.030196939019490943, 1013164.9462751157, exp_lr1e-06_g0.95_bs2048
1e-06        , 0.95 , "[128, 64]"     ,       2048, 0.017139764370479593  , 5.370536013874038  , -0.04556773283319393 , 1017139.7643704795, exp_lr1e-06_g0.95_bs2048
3e-06        , 0.97 , "[128, 128, 64]",       4096, 0.012291123081259014  , 5.3208530919010615 , -0.03468922880745495 , 1012291.123081259 , exp_lr3e-06_g0.97_bs4096
1e-05        , 0.985, "[128, 128, 64]",       4096, 0.01422222360890979   , 5.270722782054288  , -0.03659938992780787 , 1014222.2236089098, exp_lr1e-05_g0.985_bs4096
1e-05        , 0.985, "[128, 64]"     ,       1024, 0.013687683520679617  , 5.258452080734806  , -0.034255918745394354, 1013687.6835206796, exp_lr1e-05_g0.985_bs1024
1e-05        , 0.97 , "[128, 64]"     ,       1024, 0.010663263125689104  , 4.971944695516936  , -0.020215496881279993, 1010663.263125689 , exp_lr1e-05_g0.97_bs1024
3e-06        , 0.95 , "[128, 64]"     ,       1024, 0.009941578981643717  , 4.8460321203536445 , -0.018602305716160172, 1009941.5789816438, exp_lr3e-06_g0.95_bs1024
1e-05        , 0.97 , "[128, 64]"     ,       4096, 0.011895428609504766  , 4.8136478952244275 , -0.026061748125497997, 1011895.4286095047, exp_lr1e-05_g0.97_bs4096
1e-06        , 0.97 , "[256, 128]"    ,       2048, 0.011462776923011786  , 4.792155931412355  , -0.032477768247046734, 1011462.7769230119, exp_lr1e-06_g0.97_bs2048
3e-06        , 0.985, "[128, 128, 64]",       4096, 0.011047803184341731  , 4.708519084238827  , -0.026405215786394653, 1011047.8031843418, exp_lr3e-06_g0.985_bs4096
1e-05        , 0.985, "[128, 128, 64]",       2048, 0.011837298407605834  , 4.656711694107282  , -0.03041346715206006 , 1011837.2984076058, exp_lr1e-05_g0.985_bs2048
1e-05        , 0.97 , "[128, 128, 64]",       2048, 0.012465710938349028  , 4.434134424614486  , -0.0385646102629047  , 1012465.7109383491, exp_lr1e-05_g0.97_bs2048
